Domain	Phylum	Class	Order	Family	Genus	Species	1.T0	1.T1	1.T2	1.T3	1.T4	11.T0	11.T1	11.T2	11.T3	11.T4	13.T1	13.T2	13.T3	13.T4	15.T0	15.T1	15.T2	15.T3	15.T4	17.T1	17.T2	17.T3	17.T4	19.T1	19.T2	19.T3	19.T4	21.T0	21.T1	21.T2	21.T3	21.T4	22.T0	23.T1	23.T2	23.T4	25.T1	25.T2	25.T3	25.T4	27.T1	27.T2	27.T3	27.T4	29.T1	29.T2	29.T3	29.T4	3.T1	3.T2	3.T3	3.T4	31.T0	31.T1	31.T2	31.T3	31.T4	33.T0	33.T1	33.T2	33.T3	33.T4	35.T1	35.T2	35.T3	35.T4	37.T1	37.T3	37.T4	38.T2	39.T1	39.T2	39.T3	39.T4	41.T0	41.T1	41.T2	41.T3	41.T4	42.T2	43.T1	43.T3	43.T4	45.T0	45.T1	45.T2	45.T3	45.T4	47.T1	47.T2	47.T3	47.T4	49.T1	49.T3	49.T4	5.T0	5.T1	5.T2	5.T3	5.T4	50.T2	51.T0	51.T1	51.T2	51.T3	51.T4	53.T1	53.T2	53.T3	53.T4	55.T0	55.T1	55.T2	55.T3	55.T4	57.T1	57.T2	57.T3	57.T4	59.T1	59.T2	59.T3	59.T4	7.T1	7.T2	7.T3	7.T4	9.T1	9.T2	9.T3	9.T4
Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	491	13114	0	33066	38210	1934	7679	59688	70924	40476	38348	54990	20609	38404	918	12517	26692	12998	15077	9202	32825	28036	20293	18010	37288	107665	67978	477	28642	38215	18768	25416	1988	59577	33235	35445	1588	11730	7613	16042	25651	3676	13894	9787	21534	21170	62671	40809	10796	64940	60824	14863	196	14045	17021	12666	20897	551	1811	16477	24877	26000	3228	7491	15043	22594	25444	609	25468	54104	20897	43879	47747	8324	13867	27536	40366	13614	3970	35826	43928	4982	14692	13865	22861	0	7529	7513	37932	28159	35482	11216	37276	22032	34504	11188	16965	47691	23085	52740	33760	308	40043	22671	9574	3225	37933	7556	8889	4454	672	21579	22105	19527	2407	65063	58804	19462	17562	26580	18185	22704	8554	6745	35988	15150	30	23316	65235	96700	61413	
Fungi						11	7	20201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	164	5	0	0	0	33	0	0	241	0	83	0	0	0	0	0	7	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2181	0	0	0	0	0	0	0	0	0	56	0	41	0	0	2705966	12427	0	0	0	0	0	3088	0	0	8	156	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	828	0	0	0	0	408	0	345	0	0	0	0	0	0	4272	0	0	0	0	2	0	0	8	
Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	85	2162	0	441	580	123	5496	610	960	1106	2660	446	16967	1241	33	369	238	333	0	610	536	1154	112	0	392	691	583	0	611	1922	565	2959	935	402	4068	45	5475	22035	6204	54401	563	162	167	615	10130	1140	10708	5335	3431	1391	670	305	280	35926	367	3522	13215	28	436	6006	1344	20211	14834	5246	3874	60357	57406	0	6539	27270	1917	1266	37105	5643	12588	8423	10849	9545	2177	4805	7401	2578	3440	13740	4922	0	2107	13923	21558	7381	6472	7842	7304	15438	9842	476	371	467	342	334	10121	180	15763	17783	22756	4663	7209	4563	12284	7190	762	3555	43472	51418	9072	3606	23901	15346	17004	5733	11957	45488	36924	364	554	0	0	3418	876	1205	1321	
Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	59	5593	0	448	5080	285	3128	47	695	1858	8578	2438	4721	23354	37	5692	59460	46954	34310	4110	17930	2740	415	24565	500	1276	2414	0	467	7912	1494	10975	634	631	3153	4763	208	70	2162	2244	10386	5575	6707	14062	5021	5500	916	12977	8408	6332	35710	27364	7	4140	24689	1468	523	0	290	861	1569	562	1185	560	332	262	828	38	320	680	1007	983	712	3181	5427	10712	13171	2481	1394	4225	9782	5910	13831	9265	1422	0	41744	25552	6434	14073	10476	17321	18374	5281	12395	1966	428	1897	11570	14251	2063	23	4430	6128	5657	367	3862	1302	7973	1071	433	644	14940	41658	1222	18163	8302	9403	6771	6639	2967	6707	3295	7358	62465	30382	38308	1442	766	8389	3118	
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	66	95	0	95	105	109	3037	0	161	185	2278	136	12133	295	144	44	283	50	18	201	93	93	81	0	153	254	233	0	155	234	0	112	164	133	1037	13351	519	2481	3552	30555	171	589	1834	1844	1312	6	4517	760	323	236	244	365	113	5574	1946	2340	31275	66	199	20859	108	107	0	48	3769	12	991	0	7643	230	93	0	251	4723	36263	325	1379	243	1965	433	1595	3487	1875	580	3744	0	328	276	308	261	183	355	762	1022	3885	92	4097	546	78	252	139	0	776	2181	7591	6996	310	2817	455	2517	582	190	14161	2275	213	2162	22245	10020	49595	262	165	727	6076	0	241	0	0	837	272	760	738	
Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	0	31	0	61	38	6	19	0	72	0	254	0	17787	130	0	17	84	41	58	13	35	38	79	0	45	107	90	11	45	124	33	36	33	63	55	84	32841	85937	10658	19447	87	0	24	49	46	38	122	93	48	95	95	49	0	44	0	23	70	0	0	31	36	47	57	15	16	0	8277	0	46	60	51	183	96	55	153	65	69	18	0	73	53	17	51	0	0	0	45	53	79	99	75	70	2169	59	116	21	35	100	32	58	63	0	101	48	55	20	56	54	43	19	0	44	89	129	22	86	106	58	83	47	29	82	72	0	92	73	0	39	83	115	93	
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Peyronellaea	0	41	0	45	74	0	38	110	90	80	93	0	0	165	27	0	92	54	0	513	79	33	20	0	43	158	102	0	50	107	23	0	181	88	85	0	34	0	145	124	70	0	90	97	47	0	83	106	0	91	85	41	0	55	78	0	59	0	0	66	0	52	239	11	19	0	84	0	34	108	46	70	62	68	98	95	85	161	40	0	1839	617	497	74	46	0	37	74	11768	5533	571	76	62	32	0	25	25	53	39	58	6220	0	132	146	214	21	237	29778	21891	8701	0	63	4578	113	47	94	101	105	82	1766	88	4814	357	0	106	0	0	44	88	128	87	
Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	70	45	0	26	41	32	16	0	39	26	79	0	0	46	0	30	37	55	0	0	52	7437	0	0	0	302	40	0	74	0	0	25	40	27	22	0	0	0	0	109	27	0	24	41	23	352	69	46808	0	43	60	24	0	26	23	0	32	15	0	17	9084	36	41	9	20	0	45	0	46	50	17	77	42	60	0	38	42	177	18	64	46	0	33	0	0	0	32	54	43	37	29	19	32	20	49	1515	33	39	0	32	49	0	508	8273	295	330	0	0	255	488	35	35	60	43	15	40	46	0	0	19	13	42	46	0	43	2486	0	24	42	53	91	
Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	5	23	0	12	20	46	505	0	27	29	87	31	243	15	19	0	63	56	40	0	44	95	25	0	20	48	43	0	0	158	24	474	101	35	19	0	223	747	56	685	37	123	19	97	17	111	122	304	114	72	46	21	0	70	257	688	71	0	38	101	97	186	6950	13	24	400	246	0	25	392	762	146	345	1061	495	469	1715	49	420	1884	2185	711	232	484	601	0	3151	582	3207	435	214	223	563	131	247	55	0	28	12	27	169	14	12227	3047	2531	2241	1056	499	1101	358	42	518	2178	2559	120	613	3261	1299	553	2210	2247	5964	3621	0	44	0	0	128	110	75	40	
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae		25	9	0	34	31	0	15	0	40	33	20	25	32	41	0	0	51	52	0	19	29	36	20	0	31	38	40	0	20	22	9	17	0	30	0	0	11	0	0	56	95	0	21	43	23	18	38	41	0	43	41	17	0	18	33	2815	26	0	0	14	14	17	0	0	10	0	38	0	20	41	505	39	36	29661	45	33	40	15	12589	1647	24	0	20	0	15	0	24	23	37	34	40	34	28	13	25	8	13	20	13	29	30	0	78	34	27	13	24	32	23	8	0	7	48	38	25	41	43	46	43	23	13	32	26	0	29	0	0	32	41	62	63	
Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae		25	0	0	45	38	0	1322	0	33	0	36	0	0	74	136	28	50	52	0	0	0	33	0	0	51	57	89	56	0	140	0	0	0	63	55	58	41	257	0	0	65	19	0	125	0	0	0	62	56	108	53	52	0	40	0	29	0	0	0	0	40	0	0	0	0	0	58	0	0	38	46	0	0	53	9252	288	5935	66	0	0	43	970	1925	6146	24	0	54	54	53	0	39	0	171	229	965	0	0	49	32	0	126	0	65	0	273	0	27	52	0	0	196	59	1695	4536	4098	62	3535	3750	12243	0	297	27	79	0	94	0	0	0	0	61	90	
Fungi	Ascomycota					0	0	0	18	14	17	36	37	33	19	19	14	30	0	0	0	23	45	0	0	16	14	0	0	12	40	529	0	0	78	26	40	0	17	13	23	9	107	38	2065	218	159	1420	2642	13	15	51	697	0	32	17	91	0	14	325	16	30	0	28	32	10	14	0	0	0	0	22	0	10	36	12	0	39	19	2593	0	18	0	0	0	358	274	10866	2958	100	0	1569	23778	43	47	26	32	24	27	18	0	0	29	27	38	810	22	18	10	13	0	110	111	447	449	0	28	368	518	25	88	152	867	3515	127	74	265	7929	0	21	25	0	14	21	48	37	
Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	0	42	0	21	16	0	1001	0	58	95	0	71	32	21	0	0	36	0	0	0	26	11	9	0	15	97	33	0	89	17	7	0	83	19	15	37	13	111	0	99	148	0	0	0	46	12	0	62	47	31	37	8	0	17	24	0	64	0	0	49	13	53	115	22	15	37	32	0	49	69	17	21	66	0	8513	158	3273	0	0	162	47	381	7497	4789	42	0	86	58	112	3921	3101	1886	142	1326	1029	35	0	11	9	66	1488	87	22	226	1889	445	63	237	1288	2595	432	20	5276	20508	7161	131	3487	3198	11698	58	413	3038	16836	0	26	0	0	52	83	87	64	
Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellales_unk	Sistotrema	0	0	0	0	0	0	0	0	8	5	7	7	16	14	0	0	8	0	0	6	4	0	0	0	2	13	15	0	0	0	0	0	0	7	4	0	0	15	0	12	0	0	0	0	0	0	0	8	0	0	7	0	0	8	0	7	7	0	0	0	0	4	0	0	0	11	4	0	0	0	6	7	10	0	29	17	269	426	0	0	0	0	8	532	0	0	0	6	9	50	384	31203	5	204	1166	9	5	5	0	7	4	0	7	6	9	3	11	9	6	84	0	0	68	123	206	9	15	10	47	0	5	15	50	0	16	0	0	0	3	17	12	
Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	36	0	0	9	4	14	0	18	8	6	0	8	32	10	0	3	12	4	0	0	3	1661	6	0	11	71	6	0	7	14	4	0	0	9	8	14	0	0	0	80	10	0	3	8	1064	389	0	22406	0	8	13	4	0	3	0	2	5	0	0	4	1924	7	14	0	3	0	18	0	29	17	2	0	9	9	5	8	7	38	7	11	7	0	0	0	8	0	0	12	9	0	21	3	7	7	28	381	0	9	6	13	8	0	19	14	0	2	10	11	4	0	0	0	12	12	0	11	18	0	12	0	0	0	4	0	9	77	0	8	15	10	16	
Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae		0	12	0	0	12	0	8	29	26	20	18	22	0	23	0	8	0	93	70	0	13	18	4	0	16	24	0	0	15	15	6	17	0	29	14	0	5	0	0	45	341	0	4481	20300	16	14	20	50	0	19	20	620	0	8	0	8	14	0	0	9	12	16	12	0	3	24	20	0	6	22	9	19	26	12	17	0	30	10	10	0	17	8	18	7	10	0	12	17	25	25	15	13	19	24	18	0	0	18	8	18	15	0	21	17	15	4	12	11	15	6	0	9	33	47	4	26	26	56	27	15	10	25	16	0	31	0	0	15	25	33	0	
Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	3	0	0	8	7	0	0	0	9	19	10	7	9	5	0	0	17	3	1993	0	0	8	0	0	0	13	17	0	4	14	2	5	8	12	0	0	2	0	6	8	11721	198	267	1031	0	0	12	11	9	10	45	31	0	7	454	0	4	0	0	0	7	5	0	0	0	0	4	0	5	18	24	5	20	14	9	0	14	0	0	0	0	0	8	0	0	0	4	9	8	13	11	4	12	9	6	4	4	6	5	0	13	0	0	7	3	3	7	0	10	3	14	0	11	15	0	12	13	0	10	13	0	24	8	0	72	1102	1474	0	17	15	0	
Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae		0	0	0	6	0	0	0	0	8	5	9	6	6	0	0	0	13	0	0	0	6	0	0	0	5	13	0	0	4	0	0	0	0	6	0	0	0	0	0	3	0	0	0	0	0	0	8	9	5	4	4	3	0	5	6	0	2	0	0	0	5	5	0	0	0	11	9	0	0	11	0	0	6	4	0	13624	4	4	3	6	6	0	6	6	3	0	3	3	0	0	5	4	5	14	7	0	0	7	3	5	3	0	7	9	4	0	6	0	3	0	0	0	5	22	0	9	4	0	4	5	33	0	4	0	0	0	0	14	0	10	0	
Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Emericellopsis	0	0	0	5	0	0	132	0	6	6	0	2	0	5	0	0	0	5	8	0	0	0	0	0	0	0	7	0	8	8	0	0	0	0	9	0	0	0	0	14	7	0	0	11	5	0	16	10	0	0	14	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	8	0	5	7	4	8	16	11	7261	0	0	4	0	5	1102	0	0	5	0	9	0	4	0	0	0	4	0	0	0	0	5	9	0	0	20	1026	0	6	32	571	872	0	0	5	7	0	3	8	9	12	5	4	4	12	0	7	0	0	4	5	4	5	
